iter	Passed	Remaining
0	6	6185
1	6	3315
2	7	2328
3	7	1837
4	7	1536
5	8	1339
6	8	1193
7	8	1090
8	9	1008
9	9	939
10	9	882
11	10	840
12	10	801
13	10	768
14	11	740
15	11	714
16	11	690
17	12	672
18	12	667
19	13	662
20	13	648
21	14	641
22	14	634
23	15	630
24	15	620
25	16	624
26	17	618
27	17	609
28	18	606
29	18	599
30	19	602
31	19	597
32	20	590
33	20	584
34	20	578
35	21	572
36	21	567
37	22	562
38	22	558
39	23	553
40	23	550
41	23	544
42	24	542
43	24	538
44	25	536
45	25	533
46	26	530
47	26	527
48	27	524
49	27	520
50	27	519
51	28	516
52	28	515
53	29	516
54	29	514
55	30	512
56	30	509
57	31	507
58	31	507
59	32	507
60	32	506
61	33	504
62	33	505
63	34	502
64	34	501
65	35	500
66	35	497
67	36	496
68	36	495
69	37	493
70	37	492
71	38	490
72	38	487
73	38	486
74	39	484
75	39	483
76	40	482
77	40	480
78	41	478
79	41	477
80	42	476
81	42	475
82	42	471
83	43	470
84	43	469
85	44	468
86	44	466
87	44	465
88	45	464
89	45	463
90	46	461
91	46	460
92	47	460
93	47	460
94	48	459
95	48	459
96	49	457
97	49	456
98	50	455
99	50	455
100	51	454
101	51	453
102	51	452
103	52	452
104	52	450
105	53	450
106	53	448
107	54	447
108	54	446
109	55	446
110	55	445
111	56	444
112	56	443
113	57	443
114	57	442
115	57	441
116	58	440
117	58	439
118	59	438
119	59	437
120	60	437
121	60	435
122	60	434
123	61	433
124	61	433
125	62	432
126	62	431
127	63	430
128	63	430
129	64	430
130	64	429
131	65	429
132	65	428
133	66	428
134	66	428
135	67	427
136	67	426
137	68	426
138	68	426
139	69	425
140	69	425
141	70	423
142	70	422
143	71	423
144	71	422
145	72	422
146	72	421
147	73	421
148	73	420
149	74	419
150	74	419
151	75	418
152	75	418
153	76	417
154	76	416
155	76	416
156	77	415
157	78	415
158	78	415
159	79	415
160	79	413
161	79	413
162	80	413
163	80	412
164	81	411
165	81	411
166	82	410
167	82	409
168	83	409
169	83	408
170	84	407
171	84	407
172	85	406
173	85	406
174	86	405
175	86	405
176	87	405
177	87	404
178	88	404
179	88	403
180	88	402
181	89	401
182	89	401
183	90	400
184	90	399
185	91	399
186	91	398
187	92	398
188	92	397
189	93	397
190	93	396
191	94	396
192	94	396
193	95	396
194	95	395
195	96	394
196	96	393
197	97	392
198	97	392
199	97	391
200	98	391
201	99	391
202	99	391
203	100	390
204	100	390
205	101	389
206	101	389
207	102	388
208	102	387
209	102	387
210	103	386
211	104	386
212	104	386
213	105	385
214	105	385
215	105	384
216	106	383
217	106	383
218	107	382
219	107	381
220	108	381
221	108	380
222	109	380
223	109	380
224	110	379
225	110	379
226	111	378
227	111	377
228	112	377
229	112	376
230	112	376
231	113	375
232	113	375
233	114	374
234	114	373
235	115	373
236	115	372
237	116	372
238	116	371
239	116	370
240	117	369
241	117	369
242	118	368
243	118	367
244	119	367
245	119	366
246	119	365
247	120	365
248	120	364
249	121	363
250	121	363
251	122	362
252	122	361
253	122	360
254	123	360
255	123	359
256	124	359
257	124	359
258	125	358
259	125	358
260	126	357
261	126	356
262	127	356
263	127	355
264	127	354
265	128	354
266	128	353
267	129	352
268	129	351
269	129	351
270	130	350
271	130	349
272	131	349
273	131	348
274	131	347
275	132	347
276	132	346
277	133	345
278	133	344
279	133	344
280	134	343
281	134	343
282	135	342
283	135	341
284	135	341
285	136	340
286	136	339
287	137	339
288	137	338
289	137	337
290	138	337
291	138	336
292	139	335
293	139	335
294	140	334
295	140	334
296	140	333
297	141	332
298	141	332
299	142	331
300	142	331
301	143	330
302	143	329
303	143	329
304	144	328
305	144	328
306	145	327
307	145	326
308	145	326
309	146	325
310	146	324
311	147	324
312	147	323
313	147	323
314	148	322
315	148	321
316	149	321
317	149	320
318	149	320
319	150	319
320	150	318
321	151	318
322	151	317
323	152	317
324	152	316
325	152	316
326	153	315
327	153	314
328	154	314
329	154	314
330	155	313
331	155	313
332	156	312
333	156	312
334	157	311
335	157	311
336	157	310
337	158	309
338	158	309
339	159	308
340	159	308
341	159	307
342	160	306
343	160	306
344	161	305
345	161	305
346	161	304
347	162	303
348	162	303
349	163	302
350	163	302
351	163	301
352	164	300
353	164	300
354	165	299
355	165	299
356	165	298
357	166	298
358	166	297
359	167	297
360	167	296
361	167	295
362	168	295
363	168	294
364	169	294
365	169	294
366	170	293
367	170	293
368	171	292
369	171	292
370	172	292
371	172	291
372	173	290
373	173	290
374	173	289
375	174	289
376	174	288
377	175	288
378	175	287
379	176	287
380	176	286
381	176	286
382	177	285
383	177	285
384	178	284
385	178	284
386	179	283
387	179	283
388	180	282
389	180	282
390	181	282
391	181	281
392	182	281
393	182	280
394	182	280
395	183	279
396	183	279
397	184	278
398	184	278
399	185	277
400	185	277
401	186	276
402	186	276
403	187	276
404	187	275
405	188	275
406	188	274
407	189	274
408	189	273
409	189	273
410	190	272
411	190	272
412	191	271
413	191	270
414	191	270
415	192	269
416	192	269
417	193	268
418	193	268
419	193	267
420	194	267
421	194	266
422	195	265
423	195	265
424	195	264
425	196	264
426	196	263
427	197	263
428	197	262
429	197	262
430	198	261
431	198	261
432	199	260
433	199	260
434	200	260
435	200	259
436	201	259
437	201	258
438	202	258
439	202	257
440	203	257
441	203	256
442	203	256
443	204	255
444	204	255
445	205	254
446	205	254
447	206	253
448	206	253
449	206	252
450	207	252
451	207	251
452	208	251
453	208	250
454	209	250
455	209	250
456	210	249
457	210	249
458	210	248
459	211	248
460	211	247
461	212	247
462	212	246
463	213	246
464	213	245
465	214	245
466	214	244
467	214	244
468	215	243
469	215	243
470	216	243
471	216	242
472	217	242
473	217	241
474	218	241
475	218	240
476	219	240
477	219	239
478	220	239
479	220	239
480	221	238
481	221	238
482	221	237
483	222	237
484	222	236
485	223	236
486	223	235
487	224	235
488	224	234
489	225	234
490	225	233
491	225	233
492	226	232
493	226	232
494	227	231
495	227	231
496	228	230
497	228	230
498	229	230
499	229	229
500	230	229
501	230	228
502	231	228
503	231	228
504	232	227
505	232	226
506	232	226
507	233	226
508	233	225
509	234	225
510	234	224
511	235	224
512	235	223
513	236	223
514	236	222
515	237	222
516	237	221
517	238	221
518	238	221
519	238	220
520	239	220
521	239	219
522	240	218
523	240	218
524	240	218
525	241	217
526	241	217
527	242	216
528	242	216
529	243	215
530	243	215
531	243	214
532	244	214
533	244	213
534	245	213
535	246	213
536	246	212
537	247	212
538	247	211
539	247	211
540	248	210
541	248	210
542	249	209
543	249	209
544	250	208
545	250	208
546	250	207
547	251	207
548	251	206
549	252	206
550	252	205
551	253	205
552	253	204
553	254	204
554	254	204
555	254	203
556	255	203
557	255	202
558	256	202
559	256	201
560	256	201
561	257	200
562	257	200
563	258	199
564	258	199
565	258	198
566	259	198
567	259	197
568	260	197
569	260	196
570	261	196
571	262	196
572	262	195
573	262	195
574	263	194
575	263	194
576	264	193
577	264	193
578	265	192
579	265	192
580	265	191
581	266	191
582	266	190
583	267	190
584	267	189
585	268	189
586	268	188
587	269	188
588	269	188
589	270	187
590	270	187
591	271	186
592	271	186
593	271	185
594	272	185
595	272	184
596	273	184
597	273	183
598	274	183
599	274	182
600	274	182
601	275	182
602	275	181
603	276	181
604	276	180
605	277	180
